,Valor_Aluguel,Valor_Condominio,Metragem,N_Quartos,N_banheiros,N_Suites,N_Vagas
210,850,290.0,38,2,2,1,1
211,850,80.0,30,1,2,1,1
212,850,200.0,45,1,1,0,0
213,850,200.0,45,1,1,0,0
214,855,470.0,50,2,2,1,1
215,860,400.0,53,3,1,0,1
216,860,340.0,50,2,1,0,1
217,870,560.0,58,2,2,1,1
218,870,0.0,50,2,2,1,1
219,870,380.0,47,2,1,0,1
220,880,320.0,56,3,2,1,1
221,880,120.0,56,2,2,1,1
222,880,120.0,48,2,2,1,1
223,880,400.0,50,1,1,0,0
224,888,0.0,70,2,2,1,1
225,888,0.0,70,2,2,1,1
226,890,392.0,50,2,2,1,1
227,890,444.0,67,2,1,0,0
228,890,296.0,42,1,1,0,0
229,899,250.0,35,1,2,1,1
230,900,150.0,40,2,2,1,1
231,900,130.0,56,2,2,1,1
232,900,250.0,53,2,2,1,1
233,900,500.0,50,2,2,1,1
234,900,465.0,48,2,2,1,1
235,900,0.0,48,2,2,1,1
236,900,195.0,48,2,2,1,1
237,900,650.0,50,2,2,1,1
238,900,0.0,65,2,2,1,1
239,900,0.0,46,2,2,1,1
240,900,365.0,58,2,2,1,1
241,900,0.0,35,1,2,1,1
242,900,260.0,50,2,2,1,1
243,900,0.0,44,2,2,1,1
244,900,200.0,54,2,2,1,1
245,900,200.0,53,3,2,1,1
246,900,200.0,53,3,2,1,1
247,900,0.0,50,2,2,1,1
248,900,0.0,47,2,2,1,1
249,900,130.0,48,2,2,1,2
250,900,105.0,56,2,2,1,1
251,900,80.0,58,2,2,1,1
252,900,0.0,56,2,2,1,1
253,900,0.0,45,2,2,1,1
254,900,475.0,58,2,2,1,1
255,900,50.0,50,2,2,1,1
256,900,0.0,50,2,2,1,1
257,900,0.0,48,2,2,1,1
258,900,220.0,55,2,2,1,1
259,900,0.0,48,2,2,1,1
260,900,522.0,50,2,2,1,1
261,900,180.0,35,1,2,1,1
262,900,180.0,35,1,2,1,1
263,900,320.0,38,2,2,1,1
264,900,504.0,80,2,2,1,1
265,900,320.0,39,2,2,1,1
266,900,0.0,56,2,2,1,1
267,900,540.0,55,2,2,1,1
268,900,190.0,50,1,2,1,1
269,900,520.0,50,2,2,1,1
270,900,350.0,61,3,2,1,1
271,900,511.0,50,2,2,1,1
272,900,392.0,50,2,2,1,1
273,900,380.0,50,2,2,1,1
274,900,201.0,35,1,2,1,1
275,900,201.0,35,1,2,1,1
276,900,300.0,35,1,1,0,0
277,900,402.0,50,2,1,0,1
278,900,520.0,50,2,1,0,1
279,900,430.0,55,1,1,0,1
280,900,240.0,43,1,1,0,0
281,900,341.0,46,2,2,1,1
282,900,150.0,58,2,2,1,1
283,900,100.0,56,2,1,0,1
284,900,170.0,48,2,1,0,1
285,900,387.0,71,1,1,0,1
286,900,0.0,50,2,1,0,1
287,900,0.0,56,2,1,0,1
288,900,0.0,70,2,1,0,0
289,900,0.0,56,2,1,0,1
290,900,0.0,56,2,1,0,1
291,900,0.0,56,2,1,0,1
292,900,320.0,39,2,1,0,1
293,900,540.0,55,2,1,0,1
294,900,337.0,45,1,1,0,1
295,900,500.0,50,2,1,0,1
296,900,465.0,49,2,1,0,1
297,900,0.0,45,2,1,0,1
298,900,590.0,55,2,1,0,1
299,900,201.0,35,1,1,0,1
300,900,200.0,44,2,1,0,1
301,900,388.0,67,1,2,1,1
302,900,450.0,50,2,2,1,1
303,900,879.0,62,2,2,1,2
304,900,330.0,45,2,2,1,1
305,900,110.0,56,2,2,1,1
306,900,130.0,56,2,2,1,1
307,900,380.0,48,2,2,1,1
308,900,380.0,48,2,2,1,1
309,900,172.0,45,2,2,1,1
310,900,0.0,45,2,2,1,1
311,900,426.0,45,2,2,1,1
312,900,0.0,50,2,2,1,1
313,900,500.0,50,2,2,1,1
314,900,300.0,60,2,2,1,1
315,900,0.0,49,2,2,1,1
316,900,356.0,38,1,1,0,1
317,900,560.0,40,1,1,0,1
318,900,415.0,50,1,1,0,1
319,900,250.0,56,2,1,0,0
320,900,415.0,48,2,1,0,1
321,900,0.0,44,2,1,0,1
322,900,341.0,45,2,1,0,1
323,900,350.0,61,3,1,0,1
324,900,250.0,41,2,1,0,1
325,905,190.0,30,1,2,1,1
326,905,169.0,30,1,1,0,0
327,910,240.0,53,2,1,0,1
328,920,650.0,52,2,2,1,1
329,920,529.0,53,2,1,0,1
330,925,325.0,46,2,2,1,1
331,930,220.0,47,2,2,1,1
332,930,280.0,48,2,2,1,1
333,930,400.0,52,2,2,1,1
334,940,160.0,41,2,2,1,1
335,940,0.0,43,2,2,1,1
336,940,352.0,45,1,1,0,1
337,944,1627.0,158,3,2,1,2
338,950,430.0,60,2,2,1,1
339,950,359.0,60,2,2,1,1
340,950,380.0,50,2,2,1,1
341,950,0.0,50,2,2,1,1
342,950,300.0,59,3,2,1,1
343,950,250.0,44,1,2,1,1
344,950,460.0,68,2,2,1,1
345,950,430.0,66,3,2,1,1
346,950,341.0,45,2,2,1,1
347,950,502.0,62,2,2,1,1
348,950,450.0,48,2,2,1,1
349,950,0.0,60,2,2,1,1
350,950,530.0,52,2,2,1,1
351,950,275.0,46,2,2,1,1
352,950,270.0,70,2,1,0,0
353,950,300.0,70,2,1,0,0
354,950,0.0,53,2,1,0,0
355,950,150.0,48,2,1,0,1
356,950,150.0,56,2,1,0,1
357,950,250.0,63,2,1,0,1
358,950,0.0,56,2,1,0,1
359,950,250.0,44,1,1,0,1
360,950,341.0,45,2,1,0,1
361,950,275.0,50,2,1,0,1
362,950,547.0,64,2,1,0,0
363,950,565.0,96,2,2,1,1
364,950,550.0,70,2,2,1,1
365,950,1.0,55,1,2,1,1
366,950,463.0,67,2,2,1,1
367,950,150.0,48,2,2,1,1
368,950,0.0,60,2,2,1,1
369,950,0.0,48,2,2,1,1
370,950,273.0,40,1,2,1,1
371,950,328.0,47,2,2,1,1
372,950,0.0,44,2,1,0,1
373,950,250.0,54,2,1,0,1
374,950,0.0,56,2,1,0,1
375,950,450.0,48,1,1,0,0
376,955,150.0,58,2,2,1,1
377,955,150.0,58,2,1,0,1
378,970,350.0,66,3,2,1,1
379,980,320.0,55,2,2,1,1
380,980,490.0,50,1,2,1,1
381,980,211.0,50,1,1,0,0
382,980,75.0,45,1,1,0,0
383,980,267.0,67,2,1,0,1
384,980,0.0,34,1,1,0,0
385,980,0.0,34,1,1,0,0
386,980,460.0,64,3,2,1,1
387,980,424.0,65,2,1,0,1
388,990,692.0,57,2,2,1,1
389,990,516.0,90,2,1,0,1
390,990,566.0,92,2,1,0,1
391,990,0.0,75,3,1,0,0
392,990,493.0,90,2,2,1,1
393,990,260.0,47,2,2,1,1
394,999,0.0,70,2,2,1,1
395,999,0.0,70,2,2,1,1
396,999,350.0,50,2,2,1,1
397,999,590.0,72,2,2,1,2
398,999,240.0,60,2,2,1,1
399,1000,148.0,45,2,2,1,1
400,1000,100.0,48,2,2,1,1
401,1000,200.0,48,2,2,1,1
402,1000,180.0,52,1,2,1,1
403,1000,0.0,65,2,2,1,1
404,1000,0.0,100,2,2,1,1
405,1000,200.0,56,2,2,1,1
406,1000,380.0,58,2,2,1,1
407,1000,380.0,48,2,2,1,1
408,1000,750.0,60,2,2,1,1
409,1000,320.0,50,2,2,1,1
410,1000,330.0,50,2,2,1,1
411,1000,0.0,70,2,2,1,1
412,1000,395.0,55,2,2,1,1
413,1000,530.0,62,3,2,1,1
414,1000,0.0,50,2,2,1,1
415,1000,0.0,55,2,2,1,1
416,1000,290.0,38,2,2,1,1
417,1000,0.0,48,2,2,1,1
418,1000,352.0,53,2,2,1,1
419,1000,500.0,63,3,2,1,1
420,1000,412.0,50,2,2,1,1
421,1000,0.0,38,2,2,1,1
422,1000,100.0,52,2,2,1,1
423,1000,260.0,58,3,2,1,1
424,1000,204.0,55,3,2,1,1
425,1000,350.0,50,2,2,1,1
426,1000,200.0,47,1,2,1,1
427,1000,0.0,60,2,2,1,1
428,1000,0.0,60,2,2,1,1
429,1000,534.0,58,2,2,1,1
430,1000,609.0,55,3,2,1,1
431,1000,550.0,60,2,2,1,1
432,1000,380.0,48,2,2,1,1
433,1000,250.0,57,2,2,1,1
434,1000,350.0,47,2,2,1,1
435,1000,270.0,48,2,2,1,1
436,1000,522.0,50,1,2,1,1
437,1000,418.0,50,1,2,1,1
438,1000,400.0,31,1,2,1,1
439,1000,240.0,42,2,2,1,1
440,1000,340.0,49,2,2,1,1
441,1000,340.0,49,2,2,1,1
442,1000,0.0,50,2,2,1,1
443,1000,0.0,58,2,2,1,1
444,1000,0.0,50,2,2,1,1
445,1000,340.0,50,2,2,1,1
446,1000,240.0,42,2,2,1,1
447,1000,240.0,42,2,2,1,1
448,1000,300.0,47,2,2,1,1
449,1000,10.0,90,2,2,1,1
450,1000,500.0,48,2,2,1,1
451,1000,0.0,43,2,2,1,1
452,1000,500.0,60,2,2,1,1
453,1000,559.0,32,1,2,1,1
454,1000,310.0,45,1,2,1,1
455,1000,250.0,46,2,2,1,1
456,1000,300.0,52,2,2,1,1
457,1000,329.0,45,2,2,1,1
458,1000,430.0,47,2,2,1,1
459,1000,350.0,45,2,2,1,1
460,1000,0.0,52,2,2,1,1
461,1000,800.0,61,2,2,1,2
462,1000,400.0,50,2,2,1,1
463,1000,350.0,60,2,2,1,1
464,1000,393.0,44,2,2,1,1
465,1000,390.0,44,2,2,1,1
466,1000,350.0,44,2,2,1,1
467,1000,215.0,48,1,2,1,1
468,1000,455.0,70,1,2,1,1
469,1000,456.0,40,1,2,1,1
470,1000,0.0,35,1,2,1,1
471,1000,570.0,50,2,2,1,1
472,1000,300.0,48,2,2,1,1
473,1000,460.0,49,2,2,1,1
474,1000,500.0,70,2,2,1,1
475,1000,470.0,51,2,2,1,1
476,1000,580.0,58,2,2,1,1
477,1000,550.0,65,2,2,1,1
478,1000,277.0,48,2,2,1,1
479,1000,460.0,50,2,2,1,1
480,1000,480.0,50,2,2,1,1
481,1000,400.0,60,2,2,1,1
482,1000,520.0,50,2,2,1,1
483,1000,450.0,50,2,2,1,1
484,1000,450.0,50,2,2,1,1
485,1000,452.0,47,2,2,1,1
486,1000,30.0,30,1,2,1,1
487,1000,440.0,55,2,2,1,1
488,1000,100.0,50,2,2,1,1
489,1000,590.0,62,2,2,1,1
490,1000,0.0,56,1,2,1,1
491,1000,654.0,65,2,1,0,1
492,1000,270.0,70,2,1,0,1
493,1000,270.0,30,1,1,0,0
494,1000,400.0,50,1,1,0,0
495,1000,299.0,30,1,1,0,0
496,1000,458.0,39,1,1,0,1
497,1000,452.0,39,1,1,0,1
498,1000,513.0,50,1,1,0,0
499,1000,380.0,80,2,1,0,0
500,1000,550.0,49,2,1,0,1
501,1000,717.0,80,2,1,0,1
502,1000,50.0,45,2,1,0,1
503,1000,50.0,45,2,1,0,1
504,1000,380.0,45,2,1,0,0
505,1000,1076.0,75,2,3,0,1
506,1000,611.0,35,1,1,0,1
507,1000,900.0,68,2,1,0,1
508,1000,610.0,72,2,1,0,1
509,1000,610.0,72,2,1,0,1
510,1000,1.0,40,1,1,0,0
511,1000,340.0,47,2,1,0,1
512,1000,150.0,56,2,1,0,1
513,1000,100.0,49,2,1,0,1
514,1000,0.0,65,2,1,0,0
515,1000,0.0,59,2,1,0,1
516,1000,360.0,55,2,1,0,0
517,1000,709.0,59,2,2,1,1
518,1000,0.0,48,2,1,0,1
519,1000,0.0,47,2,1,0,0
520,1000,389.0,48,2,1,0,1
521,1000,350.0,45,2,1,0,1
522,1000,377.0,53,2,1,0,1
523,1000,360.0,47,2,1,0,1
524,1000,485.0,52,2,2,1,1
525,1000,658.0,76,3,1,0,1
526,1000,100.0,30,1,1,0,0
527,1000,343.0,60,2,1,0,1
528,1000,660.0,59,2,1,0,1
529,1000,380.0,48,2,1,0,1
530,1000,240.0,42,2,1,0,1
531,1000,10.0,90,2,1,0,0
532,1000,527.0,60,2,1,0,1
533,1000,600.0,60,2,1,0,1
534,1000,630.0,70,2,1,0,1
535,1000,532.0,45,1,1,0,1
536,1000,250.0,35,1,1,0,0
537,1000,606.0,62,2,1,0,1
538,1000,330.0,52,2,1,0,1
539,1000,430.0,47,2,1,0,1
540,1000,329.0,45,2,1,0,1
541,1000,946.0,62,2,1,0,2
542,1000,500.0,70,3,2,1,1
543,1000,360.0,52,2,1,0,1
544,1000,300.0,60,2,1,0,1
545,1000,455.0,41,1,1,0,1
546,1000,455.0,48,1,1,0,1
547,1000,425.0,63,3,1,0,1
548,1000,470.0,51,2,1,0,1
549,1000,460.0,49,2,1,0,1
550,1000,350.0,50,2,1,0,1
551,1000,525.0,50,2,1,0,1
552,1000,550.0,53,2,1,0,1
553,1000,450.0,52,2,1,0,2
554,1000,791.0,57,2,1,0,1
555,1000,0.0,42,2,1,0,1
556,1000,310.0,46,2,1,0,1
557,1000,281.0,43,2,1,0,1
558,1000,293.0,70,2,1,0,0
559,1000,185.0,35,1,1,0,0
560,1000,293.0,70,2,1,0,0
561,1000,440.0,55,2,1,0,0
562,1000,450.0,60,2,1,0,1
563,1000,580.0,60,2,1,0,1
564,1000,500.0,59,2,2,1,1
565,1000,535.0,45,1,1,0,1
566,1000,295.0,30,1,2,1,1
567,1000,379.0,30,1,2,1,1
568,1000,458.0,39,1,2,1,1
569,1000,408.0,70,2,2,1,1
570,1000,50.0,45,2,2,1,1
571,1000,415.0,78,2,2,1,2
572,1000,50.0,45,2,2,1,1
573,1000,600.0,70,2,2,1,2
574,1000,600.0,70,2,2,1,2
575,1000,700.0,70,2,2,1,2
576,1000,600.0,70,2,2,1,2
577,1000,600.0,78,2,2,1,2
578,1000,600.0,70,2,2,1,1
579,1000,600.0,78,2,2,1,2
580,1000,200.0,47,2,2,1,1
581,1000,500.0,78,2,2,1,1
582,1000,600.0,70,2,2,1,2
583,1000,600.0,70,2,2,1,2
584,1000,480.0,50,2,2,1,1
585,1000,610.0,72,2,2,1,1
586,1000,483.0,52,2,2,1,1
587,1000,400.0,50,2,2,1,1
588,1000,0.0,50,1,2,1,1
589,1000,650.0,72,3,2,1,2
590,1000,0.0,48,1,2,1,1
591,1000,0.0,45,2,2,1,1
592,1000,0.0,48,1,2,1,1
593,1000,680.0,70,2,2,1,1
594,1000,725.0,62,2,2,1,1
595,1000,442.0,67,2,2,1,2
596,1000,400.0,31,1,2,1,1
597,1000,150.0,49,2,2,1,1
598,1000,750.0,58,2,2,1,1
599,1000,80.0,60,2,2,1,1
600,1000,300.0,44,2,2,1,1
601,1000,0.0,60,2,2,1,1
602,1000,390.0,45,1,2,1,1
603,1000,0.0,40,1,2,1,1
604,1000,336.0,49,2,2,1,1
605,1000,530.0,60,2,2,1,1
606,1000,300.0,52,2,2,1,1
607,1000,0.0,35,1,2,1,1
608,1000,283.0,57,2,2,1,1
609,1000,470.0,77,2,2,1,1
610,1000,830.0,58,2,2,1,1
611,1000,292.0,50,1,1,0,0
612,1000,390.0,45,1,1,0,0
613,1000,452.0,39,1,1,0,1
614,1000,317.0,36,1,1,0,0
615,1000,611.0,37,1,1,0,1
616,1000,150.0,50,1,1,0,1
617,1000,300.0,42,2,1,0,0
618,1000,0.0,50,2,2,1,1
619,1000,460.0,50,2,1,0,1
620,1000,450.0,70,2,1,0,1
621,1000,343.0,60,2,1,0,1
622,1000,340.0,50,2,1,0,1
623,1000,100.0,33,1,1,0,1
624,1000,250.0,46,2,1,0,1
625,1000,1057.0,62,2,1,0,2
626,1000,500.0,47,2,1,0,1
627,1000,1400.0,110,2,2,1,2
628,1000,0.0,40,1,1,0,0
629,1000,270.0,44,2,1,0,1
630,1000,0.0,56,1,2,1,1
631,1005,200.0,47,1,2,1,1
632,1010,140.0,57,2,1,0,1
633,1010,594.0,65,2,2,0,1
634,1015,950.0,64,2,2,1,1
635,1020,0.0,45,1,2,1,1
636,1020,180.0,56,2,2,1,1
637,1030,270.0,41,3,1,0,1
638,1030,370.0,65,2,1,0,1
639,1032,568.0,65,2,1,0,1
640,1040,460.0,48,2,2,1,1
641,1040,460.0,59,2,1,0,1
642,1045,305.0,48,2,2,1,1
643,1050,230.0,48,2,2,1,1
644,1050,500.0,50,2,2,1,1
645,1050,450.0,50,2,2,1,1
646,1050,320.0,50,2,2,1,1
647,1050,450.0,57,2,2,1,1
648,1050,251.0,45,2,2,1,1
649,1050,400.0,50,2,1,0,1
650,1050,250.0,57,2,1,0,1
651,1050,350.0,55,2,1,0,1
652,1050,500.0,56,2,1,0,1
653,1050,0.0,56,2,1,0,1
654,1050,450.0,60,2,1,0,1
655,1050,750.0,58,2,3,2,1
656,1050,0.0,51,1,1,0,0
657,1050,320.0,50,2,1,0,1
658,1050,297.0,47,2,1,0,1
659,1050,251.0,45,2,1,0,1
660,1050,200.0,40,1,2,1,1
661,1050,850.0,73,2,2,1,1
662,1050,295.0,50,2,2,1,1
663,1050,350.0,44,2,2,1,1
664,1050,250.0,44,2,2,1,1
665,1050,340.0,72,3,2,1,1
666,1050,0.0,57,2,1,0,1
667,1050,600.0,65,2,1,0,1
668,1050,420.0,60,2,1,0,1
669,1070,0.0,50,2,2,1,1
670,1070,510.0,60,2,2,1,1
671,1080,425.0,45,2,1,0,1
672,1080,603.0,80,3,2,0,1
673,1080,488.0,60,2,2,1,1
674,1089,0.0,101,3,2,1,1
675,1090,520.0,35,1,1,0,0
676,1099,400.0,85,2,2,1,1
677,1100,590.0,64,3,2,1,1
678,1100,546.0,96,3,2,1,1
679,1100,250.0,48,2,2,1,1
680,1100,580.0,60,2,2,1,1
681,1100,0.0,60,2,2,1,1
682,1100,300.0,50,2,2,1,1
683,1100,498.0,47,2,2,1,1
684,1100,442.0,67,2,2,1,1
685,1100,480.0,62,3,2,1,1
686,1100,350.0,50,2,2,1,1
687,1100,0.0,64,2,2,1,1
688,1100,450.0,57,2,2,1,1
689,1100,340.0,55,2,2,1,1
690,1100,360.0,62,2,2,1,1
691,1100,360.0,62,2,2,1,1
692,1100,0.0,40,2,2,1,1
693,1100,0.0,43,2,2,1,1
694,1100,120.0,50,2,2,1,1
695,1100,0.0,56,2,2,1,1
696,1100,0.0,57,2,2,1,1
697,1100,270.0,50,2,2,1,1
698,1100,290.0,49,3,2,1,1
699,1100,240.0,47,2,2,1,1
700,1100,300.0,50,2,2,1,1
701,1100,515.0,53,2,2,1,1
702,1100,200.0,47,1,2,1,1
703,1100,300.0,47,2,2,1,1
704,1100,600.0,54,2,2,1,1
705,1100,480.0,50,2,2,1,1
706,1100,430.0,65,3,2,1,2
707,1100,560.0,60,2,2,1,1
708,1100,448.0,50,2,2,1,1
709,1100,0.0,50,2,2,1,1
710,1100,400.0,48,2,2,1,1
711,1100,270.0,47,2,2,1,1
712,1100,250.0,54,2,2,1,1
713,1100,0.0,45,2,2,1,1
714,1100,0.0,45,2,2,1,1
715,1100,250.0,54,2,2,1,1
716,1100,200.0,55,2,2,1,1
717,1100,320.0,50,1,2,1,1
718,1100,380.0,57,2,2,1,1
719,1100,350.0,49,2,2,1,1
720,1100,745.0,60,2,2,1,1
721,1100,450.0,60,2,2,1,1
722,1100,0.0,54,2,2,1,1
723,1100,280.0,45,2,2,1,1
724,1100,0.0,35,1,2,1,1
725,1100,97.0,40,2,2,1,1
726,1100,564.0,55,2,2,1,1
727,1100,564.0,55,2,2,1,1
728,1100,97.0,41,2,2,1,1
729,1100,300.0,44,2,2,1,1
730,1100,553.0,52,1,2,1,1
731,1100,580.0,55,3,2,1,1
732,1100,520.0,56,2,2,1,1
733,1100,480.0,59,2,2,1,1
734,1100,560.0,60,3,2,1,1
735,1100,560.0,60,3,2,1,1
736,1100,600.0,62,2,2,1,1
737,1100,400.0,38,2,2,1,1
738,1100,400.0,39,2,2,1,1
739,1100,454.0,98,3,2,1,1
740,1100,454.0,98,3,2,1,1
741,1100,561.0,55,2,2,1,1
742,1100,0.0,70,2,2,1,1
743,1100,560.0,62,2,2,1,1
744,1100,600.0,56,2,2,1,1
745,1100,474.0,50,2,2,1,1
746,1100,541.0,41,1,2,1,1
747,1100,710.0,67,3,2,1,1
748,1100,1.0,45,2,2,1,1
